asset_name_source,auto_publish,canonical_symbol_candidate,external_status_source,manual_verification_required,methodology_id,normalized_status,publication_state,retrieved_at,source_row_id,source_url,symbol_source
Legacy Frax Dollar,False,FRAX,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-042-legacy-frax-dollar,https://www.fasset.com/shariah-reports/,FRAX
Ape and Pepe,False,APEPE,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-043-ape-and-pepe,https://www.fasset.com/shariah-reports/,APEPE
WeFi,False,WFI,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-044-wefi,https://www.fasset.com/shariah-reports/,WFI
48 Club Token,False,KOGE,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-045-48-club-token,https://www.fasset.com/shariah-reports/,KOGE
AUSD,False,AUSD,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-046-ausd,https://www.fasset.com/shariah-reports/,AUSD
Banana For Scale,False,BANANAS31,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-047-banana-for-scale,https://www.fasset.com/shariah-reports/,BANANAS31
Circle Internet Group Tokenized Stock (Ondo),False,CRCLON,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-048-circle-internet-group-tokenized-stock-ondo,https://www.fasset.com/shariah-reports/,CRCLon
Aster USDF,False,USDF,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-049-aster-usdf,https://www.fasset.com/shariah-reports/,USDF
Frax USD,False,FRXUSD,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-050-frax-usd,https://www.fasset.com/shariah-reports/,FRXUSD
Shuffle,False,SHFL,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-051-shuffle,https://www.fasset.com/shariah-reports/,SHFL
Rollbit Coin,False,RLB,Not Compliant,True,FASSET_SHARIAH_REPORTS,NOT_ELIGIBLE_EXTERNAL_REFERENCE,GUARD_ONLY,2026-07-24,FASSET-GUARD-052-rollbit-coin,https://www.fasset.com/shariah-reports/,RLB
